Product_Description,Product_Link
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870613.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870644.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870601.html
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/mens-512-blue-slim-tapered-jeans/360870699.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/shop-jeans-by-fit/slim/levis-mens-511-slim-fit-jeans/182981264.html
 Men's  Styled Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-styled-slim-fit-jeans/182981265.html
 Men's  Skinny Jeans,https://www.levi.in/men/clothing/jeans/levis-mens-65504-skinny-jeans/655040592.html
 Men's  Slim Taper Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-taper-jeans/360870539.html
 Men's  Slim Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-jeans/182981170.html
 Men's  Skinny Jeans,https://www.levi.in/men/clothing/jeans/levis-mens-65504-skinny-jeans/655040596.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870630.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870606.html
 Men's  Styled Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-styled-slim-tapered-fit-jeans/360870602.html
Men's  Blue Slim Jeans,https://www.levi.in/men/jeans-by-style/511-slim/mens-511-blue-slim-jeans/182981331.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981260.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870609.html
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/mens-512-blue-slim-tapered-jeans/360870648.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981275.html
 Men's  Styled Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-styled-slim-tapered-fit-jeans/360870623.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870599.html
 Men's  Styled Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-styled-slim-tapered-fit-jeans/360870607.html
Men's  Blue Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/mens-511-blue-slim-fit-jeans/182981242.html
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/mens-512-blue-slim-tapered-jeans/360870627.html
Men's  Blue Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/mens-511-blue-slim-fit-jeans/182981259.html
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/mens-512-blue-slim-tapered-jeans/360870694.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981267.html
 Men's  Skinny Jeans,https://www.levi.in/men/clothing/jeans/levis-mens-65504-skinny-jeans/A39580000.html
 Men's Baggy Tapered Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-baggy-tapered-jeans/A32250003.html
 Men's  Skinny Jeans,https://www.levi.in/men/clothing/jeans/levis-mens-65504-skinny-jeans/655040591.html
 Men's  Skinny Jeans,https://www.levi.in/men/clothing/jeans/levis-mens-65504-skinny-jeans/213010035.html
 Men's  Skinny Jeans,https://www.levi.in/men/clothing/jeans/levis-mens-65504-skinny-jeans/A39790000.html
 Men's  Slim Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-jeans/182981168.html
 Men's  Z Authentic Straight Jeans,https://www.levi.in/men/clothing/jeans/levis-mens-551-z-authentic-straight-jeans/A05740032.html
 Men's  Skinny Jeans,https://www.levi.in/men/clothing/jeans/levis-mens-65504-skinny-jeans/213010034.html
 Men's  Slim Straight Jeans,https://www.levi.in/men/clothing/jeans/levis-mens-513-slim-straight-jeans/236770283.html
 Men's  Slim Taper Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-taper-jeans/360870535.html
 Men's  Slim Tapered Fit Jeans,https://www.levi.in/men/jeans-by-style/512-slim-tapered/levis-mens-512-slim-tapered-fit-jeans/360870610.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981231.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981262.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981224.html
 Men's  Styled Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-styled-slim-fit-jeans/182981238.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981250.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981258.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981230.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981237.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/clothing/jeans/levis-mens-511-slim-fit-jeans/182981085.html
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/clothing/jeans/mens-512-blue-slim-tapered-jeans/360870374.html
 Men's  Slim Taper Jeans,https://www.levi.in/men/clothing/jeans/levis-mens-512-slim-taper-jeans/360870534.html
 Men's  Slim Fit Jeans,https://www.levi.in/men/jeans-by-style/511-slim/levis-mens-511-slim-fit-jeans/182981059.html
Men's  Blue Slim Tapered Jeans,https://www.levi.in/men/clothing/jeans/mens-512-blue-slim-tapered-jeans/360870429.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250316.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060563.html
Women's  Blue Mid Rise Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-711-blue-mid-rise-skinny-jeans/213060556.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250302.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250300.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250315.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060572.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250307.html
Women's  Blue Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-710-blue-super-skinny-jeans/213250335.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060539.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250308.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250320.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250287.html
Women's  Black Mid Rise Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-710-black-mid-rise-super-skinny-jeans/213250314.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060560.html
Women's  Blue Mid Rise Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-711-blue-mid-rise-skinny-jeans/213060566.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250306.html
Women's  Blue Mid Rise Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-711-blue-mid-rise-skinny-jeans/213060555.html
Women's  Blue Mid Rise Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-710-blue-mid-rise-super-skinny-jeans/213250297.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250294.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250312.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060561.html
Women's  Blue Mid Rise Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-711-blue-mid-rise-skinny-jeans/213060579.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060570.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060569.html
 Women's  Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-710-super-skinny-jeans/213250310.html
Women's  Blue Mid Rise Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-710-blue-mid-rise-super-skinny-jeans/213250319.html
 Women's  Skinny Jeans,https://www.levi.in/women/clothing/jeans/levis-womens-711-skinny-jeans/213060562.html
Women's  Blue Mid Rise Super Skinny Jeans,https://www.levi.in/women/clothing/jeans/womens-710-blue-mid-rise-super-skinny-jeans/213250303.html
